,level_0,index,FeatureName,title,Sentence,CS_SS,p/n,Ref
129,129,243,compression,canon powershot s100 ,"for real speed freaks there's also a scene mode that can capture 8 frames at an impressive 9.6 fps, but it's limited to jpeg images only, with no manual control.compared to powershot s95 - key differencesthe s100 is in effect a whole new camera compared to the s95; almost every key feature has been upgraded or updated:24-120mm (equivalent) lens range, f2.0-5.9, built-in neutral density filter12.1 mp 1/1.7"" canon cmos sensordigic 5 image processoriso 80-64002.3 fps continuous shooting (9.6 fps for 8 frames in high-speed burst mode)full hd (1080p24) movie recording; h.264 compression, mov formatoptical zoom in movie modesuper slow motion movie recording (640 x 480 @ 120fps, 320 x 240 @ 240 fps)direct movie record buttonbuilt-in gps unit with image tagging and logger functions",CS,N,canon powershot s95 
130,130,244,compression,panasonic lumix dmc-fz200 ,"there are a lot of things i like about the camera (size, controls, features, lens speed) but after a couple of hundred shots comparing the fz200 with five other cameras, there were four things that caused it to go back.1) a consistent cool bluish tint on outdoor pictures.2) a frequent reddish tint on indoor pictures taken with flash.3) blowout/loss of detail of light colored items in high-contrast situations.4) image quality when cropping and enlarging elements of a photo.the other cameras i was comparing with the fz200 were:* an old 8 megapixel canon s5is* a newish canon eos rebel t3i* new nikon p510* new canon sx40 hs* new fujifilm hs30 exrin my testing, all five of the other cameras performed much better in regard to color accuracy (items 1 and 2 above), and were also better in regard to image quality (items 3 & 4 above) when processing jpegs.",CS,P,fujifilm finepix s5
131,131,245,compression,panasonic lumix dmc-fz200 ,"there are a lot of things i like about the camera (size, controls, features, lens speed) but after a couple of hundred shots comparing the fz200 with five other cameras, there were four things that caused it to go back.1) a consistent cool bluish tint on outdoor pictures.2) a frequent reddish tint on indoor pictures taken with flash.3) blowout/loss of detail of light colored items in high-contrast situations.4) image quality when cropping and enlarging elements of a photo.the other cameras i was comparing with the fz200 were:* an old 8 megapixel canon s5is* a newish canon eos rebel t3i* new nikon p510* new canon sx40 hs* new fujifilm hs30 exrin my testing, all five of the other cameras performed much better in regard to color accuracy (items 1 and 2 above), and were also better in regard to image quality (items 3 & 4 above) when processing jpegs.",CS,P,canon eos rebel t3 
132,132,246,compression,panasonic lumix dmc-fz200 ,"there are a lot of things i like about the camera (size, controls, features, lens speed) but after a couple of hundred shots comparing the fz200 with five other cameras, there were four things that caused it to go back.1) a consistent cool bluish tint on outdoor pictures.2) a frequent reddish tint on indoor pictures taken with flash.3) blowout/loss of detail of light colored items in high-contrast situations.4) image quality when cropping and enlarging elements of a photo.the other cameras i was comparing with the fz200 were:* an old 8 megapixel canon s5is* a newish canon eos rebel t3i* new nikon p510* new canon sx40 hs* new fujifilm hs30 exrin my testing, all five of the other cameras performed much better in regard to color accuracy (items 1 and 2 above), and were also better in regard to image quality (items 3 & 4 above) when processing jpegs.",CS,P,canon sx40 hs
133,133,247,compression,nikon coolpix p7700 ,"the nikon p7700 is, however, much better at rendering jpeg and raw files than my previous camera, the canon s95.i appreciate all the easily-changed settings options on the outside of the camera, the quality of the jpeg files, the accurate white balance and the camera's very helpful capabilities in low light.",CS,P,canon powershot s95 
134,134,248,compression,nikon coolpix s3100,"for example, the color temperature can quickly be adjusted from the raw file, whereas, it is much more difficult or impossible to adjust in a jpeg file.some compact cameras (e.g., nikon coolpix p7000 or panasonic lumix dmc-lx5) solve some of the above problems, but they are much more expensive (around $370 to $500).if these problems with the nikon s3100 camera are not important to you, then you should be able to get many decent pictures as snapshots without messing much with the settings.",CS,N,nikon coolpix p7000 
135,135,249,compression,nikon coolpix s3100,"for example, the color temperature can quickly be adjusted from the raw file, whereas, it is much more difficult or impossible to adjust in a jpeg file.some compact cameras (e.g., nikon coolpix p7000 or panasonic lumix dmc-lx5) solve some of the above problems, but they are much more expensive (around $370 to $500).if these problems with the nikon s3100 camera are not important to you, then you should be able to get many decent pictures as snapshots without messing much with the settings.",CS,N,panasonic lumix 
136,136,250,compression,nikon coolpix s3100,"for example, the color temperature can quickly be adjusted from the raw file, whereas, it is much more difficult or impossible to adjust in a jpeg file.some compact cameras (e.g., nikon coolpix p7000 or panasonic lumix dmc-lx5) solve some of the above problems, but they are much more expensive (around $370 to $500).if these problems with the nikon s3100 camera are not important to you, then you should be able to get many decent pictures as snapshots without messing much with the settings.",CS,N,panasonic lumix dmc-lx5 
137,137,252,compression,panasonic lumix dmc-lx5 ,"not so good for human figure, despite its shortcomings, notably its weak jpeg processing, the panasonic lumix dmc-lx5 delivers an excellent all-around shooting experience--fastest in its class, full featured, and capable of shooting some very nice photos.",CS,P,panasonic lumix 
138,138,253,compression,fujifilm finepix hs30,"i will state the pros and cons of this camera over my previous hs10 and sx40 cameras.pros- better iq, dynamic range.- smoother manual zoom and manual focus ring.- improved placement of built-in flash- much faster af.- much faster sts times, write times(especially on raw+jpeg), shorter lag.- much better evf and lcd.- real-time intelligent zoom is now available unlike before where it shows useless box in hs10.",CS,P,canon sx40 hs
139,139,254,compression,fujifilm finepix s1 ,"zoom, much better image resolution and clarity than fuji's hs50, good battery life (intervalometer took a jpeg and raf [raw] image of bald eagles every 15 seconds for 6 hours including a rain storm), water and dust resistance, and wifi control.negatives include the tiny sensor doesn't handle low light very well, as of early may of '14 adobe doesn't yet recognize the s1's raw file format, and documentation fails to point out that digital zoom is deactivated if you elect to save raw (&#34;raf&#34;) files.",CS,P,fujifilm finepix hs50
140,140,255,compression,fujifilm x-e1 ,"for such small stuff like that, silkypix is just fine..you can save the output as an uncompressed tiff file if you like, then finish up in lr or photoshop or whatever graphic software you are more comfortable with..no worries!two features i miss from the e-m5 vs the x-e1 are in camera pixel mapping, and the e-m5's great 5 axis image stabilization.",CS,P,olympus om-d e-m5 
141,141,256,compression,olympus om-d e-m5 ,"and then on top of that it also has a macro mode so you can focus on objects a mere 1 inch away from the lens.the still photo jpeg quality of the e-m5 outdoors is excellent, just like the already excellent pen cameras which beat the canon t2i t3i, 60d, nikon 5100, 7000, etc for image detail and sharpness combined with vivid, yet realistic colors (i know because i used to own a t3i).",CS,P,canon eos rebel t2i 
142,142,257,compression,olympus om-d e-m5 ,"and then on top of that it also has a macro mode so you can focus on objects a mere 1 inch away from the lens.the still photo jpeg quality of the e-m5 outdoors is excellent, just like the already excellent pen cameras which beat the canon t2i t3i, 60d, nikon 5100, 7000, etc for image detail and sharpness combined with vivid, yet realistic colors (i know because i used to own a t3i).",CS,P,canon eos rebel t3 
143,143,258,compression,olympus om-d e-m5 ,"and then on top of that it also has a macro mode so you can focus on objects a mere 1 inch away from the lens.the still photo jpeg quality of the e-m5 outdoors is excellent, just like the already excellent pen cameras which beat the canon t2i t3i, 60d, nikon 5100, 7000, etc for image detail and sharpness combined with vivid, yet realistic colors (i know because i used to own a t3i).",CS,P,canon eos 60d 
144,144,259,compression,olympus pen e-p3 ,"--------------bottom-line--------------50% killer photographic machine, 50% severe drawbacks -it all comes down to the price--------------details--------------the e-p3 both kept and improved over the limitations of the e-p1 and e-p2.i find that the combination of- focus speed- touch screen-- in-body image stabilization- excellent black and white jpegs- good level of customization- and live histogram...... makes for a terrific photographic machine.these are the positives of this camera.on the negative side, unfortunately, there are various points shaving &#9733;1/2 from the overall rating.",CS,N,olympus pen e-p1
